Pos,Team,Team,Pld,W,D,L,GF,GA,GD,Pts,Result
1,D,West Germany,7,5,2,0,15,5,+10,12,1st
2,B,Argentina,7,2,3,2,5,4,+1,7,2nd
3,A,Italy,7,6,1,0,10,2,+8,13,3rd
4,F,England,7,3,3,1,8,6,+2,9,4th
5,D,Yugoslavia,5,3,1,1,8,6,+2,7,Eliminated in the quarter-finals
6,A,Czechoslovakia,5,3,0,2,10,5,+5,6,Eliminated in the quarter-finals
7,B,Cameroon,5,3,0,2,7,9,−2,6,Eliminated in the quarter-finals
8,F,Republic of Ireland,5,0,4,1,2,3,−1,4,Eliminated in the quarter-finals
9,C,Brazil,4,3,0,1,4,2,+2,6,Eliminated in the round of 16
10,E,Spain,4,2,1,1,6,4,+2,5,Eliminated in the round of 16
11,E,Belgium,4,2,0,2,6,4,+2,4,Eliminated in the round of 16
12,B,Romania,4,1,2,1,4,3,+1,4,Eliminated in the round of 16
13,C,Costa Rica,4,2,0,2,4,6,−2,4,Eliminated in the round of 16
14,D,Colombia,4,1,1,2,4,4,0,3,Eliminated in the round of 16
15,F,Netherlands,4,0,3,1,3,4,−1,3,Eliminated in the round of 16
16,E,Uruguay,4,1,1,2,2,5,−3,3,Eliminated in the round of 16
17,B,Soviet Union,3,1,0,2,4,4,0,2,Eliminated in the group stage
18,A,Austria,3,1,0,2,2,3,−1,2,Eliminated in the group stage
18,C,Scotland,3,1,0,2,2,3,−1,2,Eliminated in the group stage
20,F,Egypt,3,0,2,1,1,2,−1,2,Eliminated in the group stage
21,C,Sweden,3,0,0,3,3,6,−3,0,Eliminated in the group stage
22,E,South Korea,3,0,0,3,1,6,−5,0,Eliminated in the group stage
23,A,United States,3,0,0,3,2,8,−6,0,Eliminated in the group stage
24,D,United Arab Emirates,3,0,0,3,2,11,−9,0,Eliminated in the group stage
