Pos,Team,Team,Pld,W,D,L,GF,GA,GD,Pts,Result
1,C,Brazil,7,7,0,0,18,4,+14,21,1st
2,E,Germany,7,5,1,1,14,3,+11,16,2nd
3,C,Turkey,7,4,1,2,10,6,+4,13,3rd
4,D,South Korea,7,3,2,2,8,6,+2,11,4th
5,B,Spain,5,3,2,0,10,5,+5,11,Eliminated in the quarter-finals
6,F,England,5,2,2,1,6,3,+3,8,Eliminated in the quarter-finals
7,A,Senegal,5,2,2,1,7,6,+1,8,Eliminated in the quarter-finals
8,D,United States,5,2,1,2,7,7,0,7,Eliminated in the quarter-finals
9,H,Japan,4,2,1,1,5,3,+2,7,Eliminated in the round of 16
10,A,Denmark,4,2,1,1,5,5,0,7,Eliminated in the round of 16
11,G,Mexico,4,2,1,1,4,4,0,7,Eliminated in the round of 16
12,E,Republic of Ireland,4,1,3,0,6,3,+3,6,Eliminated in the round of 16
13,F,Sweden,4,1,2,1,5,5,0,5,Eliminated in the round of 16
14,H,Belgium,4,1,2,1,6,7,−1,5,Eliminated in the round of 16
15,G,Italy,4,1,1,2,5,5,0,4,Eliminated in the round of 16
16,B,Paraguay,4,1,1,2,6,7,−1,4,Eliminated in the round of 16
17,B,South Africa,3,1,1,1,5,5,0,4,Eliminated in the group stage
18,F,Argentina,3,1,1,1,2,2,0,4,Eliminated in the group stage
19,C,Costa Rica,3,1,1,1,5,6,−1,4,Eliminated in the group stage
20,E,Cameroon,3,1,1,1,2,3,−1,4,Eliminated in the group stage
21,D,Portugal,3,1,0,2,6,4,+2,3,Eliminated in the group stage
22,H,Russia,3,1,0,2,4,4,0,3,Eliminated in the group stage
23,G,Croatia,3,1,0,2,2,3,−1,3,Eliminated in the group stage
24,G,Ecuador,3,1,0,2,2,4,−2,3,Eliminated in the group stage
25,D,Poland,3,1,0,2,3,7,−4,3,Eliminated in the group stage
26,A,Uruguay,3,0,2,1,4,5,−1,2,Eliminated in the group stage
27,F,Nigeria,3,0,1,2,1,3,−2,1,Eliminated in the group stage
28,A,France,3,0,1,2,0,3,−3,1,Eliminated in the group stage
29,H,Tunisia,3,0,1,2,1,5,−4,1,Eliminated in the group stage
30,B,Slovenia,3,0,0,3,2,7,−5,0,Eliminated in the group stage
31,C,China,3,0,0,3,0,9,−9,0,Eliminated in the group stage
32,E,Saudi Arabia,3,0,0,3,0,12,−12,0,Eliminated in the group stage
