R,Grp,Team,Pld,W,D,L,GF,GA,GD,Pts,Result
1,1/B,Argentina,7,5,1,1,15,4,+11,11,Champion
2,4/A,Netherlands,7,3,2,2,15,10,+5,8,Runners-up
3,3/B,Brazil,7,4,3,0,10,3,+7,11,Third place
4,1/A,Italy,7,4,1,2,9,6,+3,9,Fourth place
5,2/B,Poland,6,3,1,2,6,6,0,7,Eliminated in the second group stage
6,2/A,West Germany,6,1,4,1,10,5,+5,6,Eliminated in the second group stage
7,3/A,Austria,6,3,0,3,7,10,−3,6,Eliminated in the second group stage
8,4/B,Peru,6,2,1,3,7,12,−5,5,Eliminated in the second group stage
9,2,Tunisia,3,1,1,1,3,2,+1,3,Eliminated in the first group stage
10,3,Spain,3,1,1,1,2,2,0,3,Eliminated in the first group stage
11,4,Scotland,3,1,1,1,5,6,−1,3,Eliminated in the first group stage
12,1,France,3,1,0,2,5,5,0,2,Eliminated in the first group stage
13,3,Sweden,3,0,1,2,1,3,−2,1,Eliminated in the first group stage
14,4,Iran,3,0,1,2,2,8,−6,1,Eliminated in the first group stage
15,1,Hungary,3,0,0,3,3,8,−5,0,Eliminated in the first group stage
16,2,Mexico,3,0,0,3,2,12,−10,0,Eliminated in the first group stage
