R,Team,G,Pld,W,D,L,GF,GA,GD,Pts.
1,Spain,H,7,6,0,1,8,2,+6,18
2,Netherlands,E,7,6,0,1,12,6,+6,18
3,Germany,D,7,5,0,2,16,5,+11,15
4,Uruguay,A,7,3,2,2,11,8,+3,11
5,Argentina,B,5,4,0,1,10,6,+4,12
6,Brazil,G,5,3,1,1,9,4,+5,10
7,Ghana,D,5,2,2,1,5,4,+1,8
8,Paraguay,F,5,1,3,1,3,2,+1,6
9,Japan,E,4,2,1,1,4,2,+2,7
10,Chile,H,4,2,0,2,3,5,−2,6
11,Portugal,G,4,1,2,1,7,1,+6,5
12,United States,C,4,1,2,1,5,5,0,5
13,England,C,4,1,2,1,3,5,−2,5
14,Mexico,A,4,1,1,2,4,5,−1,4
15,South Korea,B,4,1,1,2,6,8,−2,4
16,Slovakia,F,4,1,1,2,5,7,−2,4
17,Ivory Coast,G,3,1,1,1,4,3,+1,4
18,Slovenia,C,3,1,1,1,3,3,0,4
19,Switzerland,H,3,1,1,1,1,1,0,4
20,South Africa,A,3,1,1,1,3,5,−2,4
21,Australia,D,3,1,1,1,3,6,−3,4
22,New Zealand,F,3,0,3,0,2,2,0,3
23,Serbia,D,3,1,0,2,2,3,−1,3
24,Denmark,E,3,1,0,2,3,6,−3,3
25,Greece,B,3,1,0,2,2,5,−3,3
26,Italy,F,3,0,2,1,4,5,−1,2
27,Nigeria,B,3,0,1,2,3,5,−2,1
28,Algeria,C,3,0,1,2,0,2,−2,1
29,France,A,3,0,1,2,1,4,−3,1
30,Honduras,H,3,0,1,2,0,3,−3,1
31,Cameroon,E,3,0,0,3,2,5,−3,0
32,North Korea,G,3,0,0,3,1,12,−11,0
